Rank,Player,GAMES,INNS,NOT OUTS,RUNS,HIGH SCORE,AVG,50s,100s,STRIKE RATE
314,Eddie Clifford-Jones,16,12,4,56,18,7,0,0,77.36
315,Dylan Issberner,23,20,3,56,12,3.29,0,0,36.63
316,M Croydon,5,5,0,56,19,11.2,0,0,-
317,Henry Ledgerwood,22,13,4,55,16,6.11,0,0,53.33
318,Daniel Cockburn,18,12,3,55,20,6.11,0,0,84.75
319,Freddie Henderson,8,6,1,55,31,11,0,0,69.62
320,D Farr,6,5,0,55,21,11,0,0,56.45
321,Ian Gregg,13,11,4,54,17,7.71,0,0,73.91
322,Luke Kinsey,10,9,3,54,22,9,0,0,162.5
323,Charlie Edwards Colt,4,4,2,54,28,27,0,0,69.23
324,Conor Myers,18,10,1,54,25,6,0,0,-
325,A Munro,3,3,1,54,40,27,0,0,-
326,P Webb,10,9,0,54,18,6,0,0,-
327,Ciaran Maclennan,17,13,3,53,15,5.3,0,0,41.82
328,Barns Edwards,18,12,3,51,14,5.67,0,0,36.97
329,Josh Thomas,8,5,2,51,26,17,0,0,87.23
330,- Lawry,5,4,0,50,30,12.5,0,0,72.73
331,P Flick,4,4,0,50,45,12.5,0,0,-
332,Dan Huggett,15,10,4,49,22,8.17,0,0,50
333,- Davies,9,8,3,49,15,9.8,0,0,20.83
334,F- Potter,5,5,2,49,16,16.33,0,0,-
335,- Mayne,7,3,1,49,30,24.5,0,0,42.86
336,Rohan Patel,6,6,0,49,36,8.17,0,0,0
337,Graham Buller,10,9,1,48,17,6,0,0,20.97
338,Freddie Fielden,6,5,0,48,35,9.6,0,0,80
339,Steve Wade,3,3,2,47,23,47,0,0,-
340,J- Bayer,4,4,2,46,29,23,0,0,-
341,Steve Shaw,12,10,1,46,17,5.11,0,0,50
342,D- Bance,4,3,0,46,29,15.33,0,0,-
343,R- Beckles,4,3,0,46,17,15.33,0,0,-
344,- Quincey,8,7,3,45,16,11.25,0,0,-
345,- Pike,11,9,2,45,28,6.43,0,0,0
346,D Rowles,4,4,1,45,28,15,0,0,-
347,Jacob Chalmers,4,4,1,45,24,15,0,0,86.54
348,Steve Booth,4,4,0,45,25,11.25,0,0,4.76
349,Ben Buckle,12,8,1,44,18,6.29,0,0,42.62
350,Calberth Charles,5,4,1,44,32,14.67,0,0,30
351,Sam McCormick,8,6,1,43,22,8.6,0,0,0
352,Tom Smith,7,5,1,43,14,10.75,0,0,-
353,- Davis,7,6,1,43,19,8.6,0,0,-
354,- Patel,3,3,0,43,33,14.33,0,0,-
355,Ollie Goddard,4,4,0,43,37,10.75,0,0,33.33
356,Josh Dowling,6,5,2,42,18,14,0,0,57.53
357,Noah Tait,11,9,2,42,14,6,0,0,44.44
358,Mark Kenway,17,6,1,42,36,8.4,0,0,-
359,- Bowes,5,4,1,42,26,14,0,0,-
360,M Burt,5,5,0,42,20,8.4,0,0,29.59
361,- Kimber,4,3,0,42,23,14,0,0,-
362,Joe Beresford,15,9,3,40,14,6.67,0,0,69.23
363,James Roberts,3,3,2,40,28,40,0,0,-
364,Eric Epps,13,11,1,40,10,4,0,0,47.83
365,Jasper King,3,3,1,40,37,20,0,0,156
366,S Spooner,5,4,0,40,29,10,0,0,-
367,Chris Howe,3,3,0,40,35,13.33,0,0,-
368,Matthew York,29,18,6,39,7,3.25,0,0,25.16
369,Ollie King,9,7,3,39,15,9.75,0,0,71.15
370,Max Waldron,10,10,1,39,10,4.33,0,0,42.42
371,A Spooner,7,6,1,38,18,7.6,0,0,-
372,Jamie Sharp,8,7,1,38,22,6.33,0,0,42.86
373,T- Ockenden,4,4,0,38,27,9.5,0,0,-
374,Mark Wadey,3,3,2,37,22,37,0,0,366.67
375,G- Peart,3,3,0,37,23,12.33,0,0,42.05
376,Tommy Croft-Smith,14,11,4,36,13,5.14,0,0,61.54
377,Tony Tobin,8,5,1,36,31,9,0,0,0
378,Ben Webster,13,10,1,36,13,4,0,0,46.67
379,G Thompson,4,4,0,36,19,9,0,0,-
380,Josh Metcalfe,8,5,2,35,30,11.67,0,0,125
381,A Longley,3,3,1,35,14,17.5,0,0,-
382,N Wright,5,5,0,35,15,7,0,0,50
383,W Simms,4,4,0,35,14,8.75,0,0,-
384,Phil Moir,5,3,0,35,33,11.67,0,0,9.52
385,Charlie Beardmore,16,12,6,34,14,5.67,0,0,64
386,Harry Eastell-Kaye,10,9,3,34,10,5.67,0,0,62
387,Tom Stanford,8,7,0,34,9,4.86,0,0,-
388,- Barclay,3,3,3,33,27,-,0,0,-
389,Markus Dell,12,8,2,32,9,5.33,0,0,-
390,Matthew Read,11,9,1,32,9,4,0,0,30.95
391,M Shenton,7,6,1,32,12,6.4,0,0,-
392,- Clarke,5,3,0,32,31,10.67,0,0,10
393,R Edwards,17,8,4,30,12,7.5,0,0,11.11
394,Liam Mcbride,4,4,2,30,16,15,0,0,56.6
395,Rory Fairhurst,8,8,2,29,10,4.83,0,0,34.94
396,Toby Hayes,3,3,0,29,18,9.67,0,0,42.11
397,Tom Sullivan,7,7,0,29,19,4.14,0,0,0
398,J- Bourne,3,3,0,28,14,9.33,0,0,-
399,Kyan Pickering,20,9,6,27,8,9,0,0,70
400,Will Pereira,9,3,2,27,17,27,0,0,333.33
401,Steve Smith,7,6,1,27,13,5.4,0,0,-
402,R- Davies,3,3,0,27,22,9,0,0,45.83
403,A Irvine,6,3,0,27,18,9,0,0,12.68
404,O Cape,4,3,0,27,17,9,0,0,-
405,Justin Murray,5,5,0,27,11,5.4,0,0,52.27
406,Lee Hardinges,10,8,1,26,10,3.71,0,0,63.64
407,Terry Mayne,10,6,5,25,11,25,0,0,16.67
408,T Anderson,5,5,1,25,15,6.25,0,0,-
409,N- Beirne,7,5,1,24,16,6,0,0,41.86
410,Simon Love,3,3,0,24,13,8,0,0,-
411,C Jones,3,3,0,24,21,8,0,0,42.86
412,James Irvine,7,5,0,24,19,4.8,0,0,-
413,K Sesha,3,3,0,24,19,8,0,0,-
414,Martin Barker,28,16,6,23,12,2.3,0,0,13.33
415,Josh Weeden,15,11,2,23,8,2.56,0,0,24.56
416,Garin Bisschoff,4,4,0,23,20,5.75,0,0,50
417,Jason Wareham,3,3,0,23,23,7.67,0,0,-
418,Zain Palmer,14,7,3,22,5,5.5,0,0,37.93
419,Angus Candlish,4,3,2,22,19,22,0,0,32.84
420,K Burnand,6,3,1,22,17,11,0,0,-
421,Luke Reynolds,11,7,1,22,8,3.67,0,0,32.14
422,John Wills,3,3,0,22,15,7.33,0,0,29.41
423,J- Mayne,6,3,0,22,12,7.33,0,0,41.38
424,Ollie King,5,5,0,22,10,4.4,0,0,50
425,Sam Mendelson,3,3,0,21,13,7,0,0,-
426,Patrick Fownes-Walpole,4,3,0,21,10,7,0,0,-
